names,scores,logfoldchanges,pvals,pvals_adj
PLCH1,51.562313,0.97243553,0.0,0.0
DLGAP1,51.370342,0.54809755,0.0,0.0
H2AFZ,51.24239,1.1862447,0.0,0.0
MAGI1,51.217464,0.52850825,0.0,0.0
STRADB,50.907574,1.2956434,0.0,0.0
SYNC,50.875694,1.0898843,0.0,0.0
AL078459.1,50.314518,1.6557267,0.0,0.0
FHIT,50.274982,0.63453543,0.0,0.0
CASC19,50.272434,1.6390735,0.0,0.0
TTN,50.239037,1.5990928,0.0,0.0
ZMYM4-AS1,50.060528,1.9870555,0.0,0.0
L3MBTL4,50.052223,0.827054,0.0,0.0
AF127577.2,50.039726,1.9563154,0.0,0.0
AL139807.1,49.986572,1.3673257,0.0,0.0
DCDC2,49.909378,0.7709764,0.0,0.0
UBA6-AS1,49.843273,0.87132293,0.0,0.0
AC025917.1,49.824535,1.9105071,0.0,0.0
AL024474.2,49.824024,1.9643589,0.0,0.0
PAX8-AS1,49.712227,0.91388595,0.0,0.0
SCML1,49.460796,1.3264691,0.0,0.0
MTCP1,49.34678,1.7776443,0.0,0.0
FBXL13,49.287846,1.050399,0.0,0.0
AL450992.2,49.220375,2.024896,0.0,0.0
AC055733.2,49.06997,1.8898072,0.0,0.0
SLIRP,48.93389,0.79102695,0.0,0.0
OMG,48.880726,1.8628702,0.0,0.0
ASB3,48.855114,0.54571,0.0,0.0
AP000462.1,48.66629,2.2662323,0.0,0.0
MAK,48.596855,1.0324371,0.0,0.0
ADAMTS9-AS1,48.525455,1.4052912,0.0,0.0
SLC7A1,48.250328,1.1950426,0.0,0.0
AC068888.1,48.24667,1.3369404,0.0,0.0
HNRNPDL,48.14769,0.4603269,0.0,0.0
AL049828.1,47.994526,0.7085519,0.0,0.0
AC068724.3,47.883877,1.385614,0.0,0.0
AC087854.1,47.843166,1.1505339,0.0,0.0
TMPO,47.818676,0.84074926,0.0,0.0
LRRC37A2,47.37412,1.469364,0.0,0.0
KCNMB2-AS1,47.36029,2.2668993,0.0,0.0
PTRH2,47.24437,1.018159,0.0,0.0
AC073349.4,47.1188,2.8089206,0.0,0.0
AC107072.2,47.051506,1.1094309,0.0,0.0
AC004594.1,46.801914,2.052181,0.0,0.0
MAP3K20-AS1,46.794476,1.4463965,0.0,0.0
POC1B,46.649616,0.6840148,0.0,0.0
AC010976.1,46.59324,1.6405089,0.0,0.0
MIA2,46.588497,0.57137597,0.0,0.0
SNHG14,46.499016,0.40194657,0.0,0.0
CASC8,46.473167,1.5751901,0.0,0.0
PKP4,46.449013,0.5630627,0.0,0.0
FAM227B,46.273354,0.99076015,0.0,0.0
AC011092.2,46.24235,1.4281543,0.0,0.0
AC068533.3,46.182663,1.3740238,0.0,0.0
DNAJC9,46.03913,0.9736208,0.0,0.0
ARHGAP26,45.965893,0.61299527,0.0,0.0
PDE4D,45.915344,0.6184504,0.0,0.0
AC005480.1,45.805897,1.3540846,0.0,0.0
G2E3-AS1,45.778584,1.840073,0.0,0.0
AC004797.1,45.774746,1.3702258,0.0,0.0
LINC00621,45.72998,1.1496106,0.0,0.0
NUTM2B-AS1,45.71054,0.5328171,0.0,0.0
AC022558.2,45.669933,1.2213712,0.0,0.0
AC018362.1,45.63544,1.2538775,0.0,0.0
AC015849.3,45.464043,1.9618386,0.0,0.0
DENND6A-AS1,45.45662,1.302342,0.0,0.0
UGT2B7,45.434822,0.7690394,0.0,0.0
ATAD5,45.319668,1.1033955,0.0,0.0
AC108449.1,45.105366,1.8420662,0.0,0.0
RUNX2,44.999096,1.0520912,0.0,0.0
IGFBP2,44.967957,0.6315893,0.0,0.0
XRRA1,44.886723,0.66619194,0.0,0.0
LINC01541,44.69764,0.62318486,0.0,0.0
EYS,44.584103,1.4877027,0.0,0.0
ENO4,44.46725,1.5572853,0.0,0.0
AC109587.1,44.388565,1.6898038,0.0,0.0
AL450992.3,44.153736,2.4728487,0.0,0.0
EZH2,44.03127,1.0206251,0.0,0.0
ANKRD10,43.88882,0.47134167,0.0,0.0
ZRANB3,43.81177,0.67734563,0.0,0.0
SGCD,43.80435,0.6973121,0.0,0.0
ARL17A,43.649647,1.1980163,0.0,0.0
MIR181A2HG,43.60998,0.94590557,0.0,0.0
HMGA2-AS1,43.567055,2.8094637,0.0,0.0
INSYN2A,43.551125,1.3842047,0.0,0.0
AP001442.1,43.345387,1.7512604,0.0,0.0
AL513327.1,43.31822,1.23888,0.0,0.0
PNISR,43.310184,0.37274712,0.0,0.0
STX18,43.053375,0.5389258,0.0,0.0
PRIM2,42.950405,0.7051396,0.0,0.0
AC009716.1,42.928265,1.0929418,0.0,0.0
VCAN-AS1,42.913364,1.1535438,0.0,0.0
AC019130.1,42.835087,1.8481405,0.0,0.0
AC026202.2,42.796402,1.4511945,0.0,0.0
ZBTB20-AS1,42.661385,1.7170157,0.0,0.0
SOX5-AS1,42.564552,2.2558653,0.0,0.0
U2SURP,42.415066,0.4665249,0.0,0.0
AC027243.3,42.379917,1.8408227,0.0,0.0
SRGAP3,42.019196,0.68458635,0.0,0.0
SNHG7,41.932617,1.0530757,0.0,0.0
FAM133B,41.82061,0.5065956,0.0,0.0
KCNMB2,41.78513,1.4108075,0.0,0.0
PAEP,41.671593,0.8107975,0.0,0.0
AL513188.1,41.616917,1.9958323,0.0,0.0
PAXBP1,41.562946,0.54338175,0.0,0.0
CEACAM1,41.560143,1.0948831,0.0,0.0
EPS8,41.519398,0.5322662,0.0,0.0
LINC00240,41.51722,1.4475822,0.0,0.0
GOLGA8B,41.453312,0.6952871,0.0,0.0
AC074032.1,41.43256,0.8330429,0.0,0.0
COL10A1,41.420643,2.330265,0.0,0.0
ORMDL1,41.39581,0.6490401,0.0,0.0
BTG3,41.382885,1.0588609,0.0,0.0
CCDC18,41.354687,1.0191723,0.0,0.0
HNRNPA2B1,41.273685,0.30072948,0.0,0.0
AL356599.1,41.228176,0.8992415,0.0,0.0
BCL2,41.127285,0.64037925,0.0,0.0
CENPK,41.102455,1.3788244,0.0,0.0
ZNF302,40.871964,0.75201404,0.0,0.0
PPFIBP1,40.845013,0.6147693,0.0,0.0
TOM1L1,40.84411,0.6773824,0.0,0.0
STARD4-AS1,40.67946,0.78047323,0.0,0.0
NPAS3,40.64833,0.6554861,0.0,0.0
ST3GAL6,40.47406,0.9656141,0.0,0.0
RASA1,40.396435,0.45579454,0.0,0.0
ITGB8,40.395752,0.4693849,0.0,0.0
LINC01320,40.329407,0.054286607,0.0,0.0
PKD2L2,40.280613,1.9381282,0.0,0.0
NEDD9,40.265472,0.78045815,0.0,0.0
STXBP6,40.04869,0.66744864,0.0,0.0
CD63,40.01753,0.46384555,0.0,0.0
STK17A,40.007217,0.8347557,0.0,0.0
HELLS,39.996346,1.0070482,0.0,0.0
AC012085.2,39.99335,1.5634719,0.0,0.0
HMGA2,39.93214,0.9924001,0.0,0.0
MDM2,39.89972,0.7088773,0.0,0.0
SPDYE2,39.67093,2.4576173,0.0,0.0
NME9,39.65898,1.4315711,0.0,0.0
AL049646.1,39.53113,1.650121,0.0,0.0
AC016493.1,39.51553,2.2956307,0.0,0.0
RDX,39.49218,0.44287384,0.0,0.0
NASP,39.45112,0.5170388,0.0,0.0
TACR1,39.39638,1.5312165,0.0,0.0
AL022151.1,39.283127,1.736151,0.0,0.0
CTBP2,39.27668,0.38622794,0.0,0.0
WDR12,39.18659,0.7278277,0.0,0.0
MARCH1,39.09548,1.2841403,0.0,0.0
MBP,39.010666,0.73950994,0.0,0.0
MECOM,38.969204,0.55499625,0.0,0.0
ARHGAP8,38.921227,0.733572,0.0,0.0
BRD9,38.84732,0.7520822,0.0,0.0
FYB2,38.813835,1.004907,0.0,0.0
MYO1E,38.800434,0.5557263,0.0,0.0
UPF2,38.783596,0.4307963,0.0,0.0
SPC25,38.662674,1.4472519,0.0,0.0
MIR924HG,38.640827,1.152826,0.0,0.0
C9orf147,38.618683,1.156,0.0,0.0
SOX17,38.588146,1.1498291,0.0,0.0
CCDC146,38.47844,0.5765279,0.0,0.0
HOOK2,38.40846,0.73703945,0.0,0.0
INTS12,38.391212,0.9688619,0.0,0.0
RXFP1,38.058525,0.40190467,0.0,0.0
COBL,38.01452,0.6716251,0.0,0.0
GREB1L,38.006367,0.8971548,0.0,0.0
LPAR6,38.000973,0.89133865,0.0,0.0
AP001831.1,37.938305,1.1706926,0.0,0.0
C21orf58,37.828358,1.3886331,0.0,0.0
AMZ1,37.79484,1.320893,0.0,0.0
MNAT1,37.79477,0.39426985,0.0,0.0
P4HA3,37.607388,1.6213555,1.627976694849664e-309,9.826794092459925e-308
THUMPD3-AS1,37.597824,0.5444241,2.33314858868696e-309,1.4058159349580345e-307
ATP8B1,37.56078,0.57234704,9.396143912586394e-309,5.641371109870498e-307
AC073343.2,37.55903,1.086513,1.0034932206489415e-308,6.014174138415952e-307
UCKL1,37.498833,0.9479644,9.622501119396516e-308,5.74654401956584e-306
C11orf49,37.453423,0.4450592,5.283446786939833e-307,3.144117573811086e-305
AC058791.1,37.4443,1.6334003,7.436317882435126e-307,4.417461356546383e-305
CCDC170,37.41285,0.59976953,2.415359746354231e-306,1.4272657364333897e-304
EXOSC8,37.381413,0.9409781,7.832964212478996e-306,4.620488627052847e-304
AC092574.2,37.363323,1.5767398,1.5407406877007216e-305,9.056758785887557e-304
EDDM13,37.314594,1.4160385,9.516858083458637e-305,5.584439267718707e-303
DIAPH3,37.274097,1.077687,4.314382860845921e-304,2.522865338871742e-302
MYO10,37.229225,0.5720235,2.298039822378403e-303,1.3368320776744278e-301
AL365259.1,37.195568,0.6416663,8.048214183217658e-303,4.673792243433399e-301
RPS27A,37.14072,0.3784797,6.19005772579007e-302,3.588528817901224e-300
ITGB3BP,37.11933,0.7158575,1.3704580121758978e-301,7.931231403111441e-300
PRKCA-AS1,37.104786,1.5486196,2.352124414474468e-301,1.3565797008275518e-299
AL139317.5,37.078533,1.1799299,6.232219896746132e-301,3.588267189097491e-299
ABHD15-AS1,37.053135,1.3443806,1.5987959151478474e-300,9.189529695223515e-299
PARG,37.038918,0.64149386,2.7082319441815635e-300,1.5539807213615573e-298
MAML2,36.974403,0.41980845,2.9534143763358656e-299,1.6917840650296703e-297
ENTPD1-AS1,36.879456,0.61884433,9.866001518517094e-298,5.641878831013459e-296
SFMBT2,36.821762,0.8063262,8.281431486568598e-297,4.727714836111924e-295
DYNC1I1,36.735954,0.87210923,1.9487197231351295e-295,1.1106053758821901e-293
LINC00882,36.535576,1.6065757,3.0220435610485124e-292,1.716500357896054e-290
TSIX,36.498814,0.83201677,1.158104514986975e-291,6.555844751897696e-290
OXR1,36.445286,0.40363377,8.170535508078264e-291,4.609714857338226e-289
ESR1,36.4244,0.38953376,1.749735254314708e-290,9.855281410673577e-289
AC010260.1,36.333267,1.1907246,4.828955900663638e-289,2.710814877435878e-287
SERP1,36.29301,0.53456545,2.0855420188597104e-288,1.1688057617176835e-286
MCC,36.238148,0.47336894,1.527318938101626e-287,8.53120339521376e-286
LANCL1-AS1,36.237003,1.7239621,1.5920838597313333e-287,8.8782398283892e-286
LINC00624,36.23069,1.5255984,2.001644199379941e-287,1.11436991609116e-285
AC026704.1,36.229862,1.1897516,2.0626711435214128e-287,1.1464503210575616e-285
MACC1,36.19342,1.0390755,7.726921603107893e-287,4.280562063090133e-285
DANCR,36.113926,0.89910775,1.371283633101692e-285,7.559341297893812e-284
GPM6B,35.974377,0.6899465,2.1050734643002385e-283,1.156657168426764e-281
ADH4,35.92808,1.8697063,1.1133589305320071e-282,6.097586259866514e-281
MAMDC2,35.927616,0.9640375,1.1320855274646617e-282,6.190081937672847e-281
NUF2,35.914112,1.3878818,1.8395760414539926e-282,1.0025987091950384e-280
KDM4A-AS1,35.884903,1.2275627,5.2542287206690785e-282,2.859013437311404e-280
HOXB-AS3,35.88451,1.3512359,5.328583804183037e-282,2.8947961240724687e-280
SLC4A7,35.811653,0.47001216,7.274274119278383e-281,3.9327785053857865e-279
SLC26A7,35.72057,1.2897687,1.895420934589032e-279,1.0198333533359069e-277
PPM1H,35.642494,0.399215,3.079714252402847e-278,1.654400884360968e-276
AC087071.2,35.557823,2.0819964,6.290183028789676e-277,3.3523092527799665e-275
CSPP1,35.550007,0.4910547,8.3066311439406e-277,4.419967617538819e-275
AL109930.1,35.48498,0.8166354,8.379480836119176e-276,4.444687772002615e-274
SAP30L-AS1,35.47914,1.0820171,1.031091563354886e-275,5.46057013159108e-274
AC139769.2,35.438686,1.7563018,4.3328826596505944e-275,2.291054218875217e-273
ADAMTSL1,35.39742,1.2458501,1.8710513943448408e-274,9.877860981868797e-273
ACSM3,35.187206,0.82373345,3.1380424908563147e-271,1.648916492621254e-269
AL133480.1,35.138462,1.7280824,1.7442471744162227e-270,9.136817002906255e-269
TMEM101,35.104393,0.47743323,5.776972095153057e-270,3.02142816939356e-268
AC009690.2,35.07304,1.0566864,1.7372956552494103e-269,9.030183990757815e-268
